"Comment","Designator","Footprint","LCSC Part #"
"47uF/25V","C101 C102 C103","SMD,6.3x6.1mm	","C88810"
"10uF/50V","C104 C105","SMD,5x5.4mm","C445070"
"OPT","C106 C108 C110 C112 C113","",""
"100nF","C114 C116 C117 C118 C119 C206","0805","C1711"
"100uF/16","C115 C207 C107 C109 C111","SMD,6.3x5.4mm","C442615"
"10uF/25V","C120 C122","SMD,5x5.4mm	","C445070"
"1uF/25V","C121","0805","C28323"
"180pF","C201 C202 C205","0805","C113826"
"1uF/50V","C203","SMD,4x5.4mm","C445065"
"39pF","C204","0805","C527185"
"BAT46W","D101 D102 D103 D104 D105 D106 D107 D108 D109 D110","SOD-123","C83152"
"BZT52C12","D201","SOD-123","C177013"
"Conn_02x25_Odd_Even","J1","",""
"MountingHole","J3 J4","",""
"73415-3980","J5 J6 J7 J8 J9","",""
"RCJ-2223","J10","",""
"BC850C","Q101 Q105 Q109 Q113 Q114 Q201 Q102 Q103 Q106 Q107 Q110 Q111","SOT-23(SOT-23-3)","C78484"
"470R","R1 R2 R109 R112 R123 R126 R137 R140 R161 R162 R163","0805","C114564"
"20K","R3","0805","C114566"
"75","R101 R115 R129 R143 R152","0805","C141697"
"OPT","R103 R131 R145 R154","0805","C105577"
"100","R104 R114 R117 R118 R128 R132 R142 R146 R155","0805","C105577"
"56k","R105 R119 R133 R203 R164 R165 R166","0805","C137509"
"33k","R106 R120 R134 R147 R148 R156 R157","0805","C141696"
"1.5k","R107 R121 R135","0805","C114555"
"390","R113 R127 R141","0805","C114543"
"2.7k","R149 R158 R205","0805","C144567"
"OPT","R151 R160","0805","C144567"
"OPT","R201","0805","C95781"
"1K","R202","0805","C95781"
"68K","R204","0805","C228958"
"JS202011SCQN","SW10 SW101 SW105 SW129 SW143 SW152","SMD","C221666"
"NCP1117-12_SOT223","U1","",""
"15pF","C124 C125 C126","0805",""
"BC860C","Q104 Q108 Q112","SOT-23","C454976"
"OPT","Q115 Q116 Q117","",""
"OPT","R108 R122 R136","",""
"47k","R111 R125 R139","0805","C126351"
"500R","RV101 RV102 RV103","",""
