"Designator","Mid X","Mid Y","Layer","Rotation"
"J1","214.92mm","-64.63mm","top","0.0"
"C120","146.4945mm","-132.1435mm","top","0.0"
"C121","146.685mm","-136.8425mm","top","180.0"
"C122","146.4945mm","-125.9205mm","top","0.0"
"C205","113.7285mm","-145.9865mm","top","180.0"
"C206","117.094mm","-137.287mm","top","-90.0"
"D201","102.6795mm","-147.447mm","top","-90.0"
"R1","82.296mm","-143.0655mm","top","180.0"
"R2","82.296mm","-145.669mm","top","0.0"
"R3","82.296mm","-140.5255mm","top","180.0"
"R202","103.6795mm","-143.0655mm","top","180.0"
"R203","110.109mm","-139.7mm","top","-90.0"
"R205","117.221mm","-144.0975mm","top","-90.0"
"C201","88.281mm","-144.097mm","top","90.0"
"C202","91.681mm","-144.097mm","top","90.0"
"R204","110.109mm","-144.0815mm","top","-90.0"
"C204","107.2515mm","-144.145mm","top","90.0"
"Q201","113.7285mm","-141.5415mm","top","270.0"
"U1","137.287mm","-130.4925mm","top","0.0"
"J6","69.596mm","-105.029mm","top","-90.0"
"J8","69.596mm","-125.095mm","top","-90.0"
"J5","69.596mm","-44.831mm","top","-90.0"
"J7","69.596mm","-64.897mm","top","-90.0"
"J9","69.596mm","-84.963mm","top","-90.0"
"J10","49.784mm","-144.399mm","top","90.0"
"R143","77.851mm","-110.998mm","top","0.0"
"R101","77.851mm","-52.959mm","top","0.0"
"R115","77.851mm","-70.866mm","top","0.0"
"R152","77.851mm","-131.064mm","top","180.0"
"R129","77.851mm","-90.932mm","top","180.0"
"SW143","77.851mm","-105.029mm","top","90.0"
"SW105","77.851mm","-64.897mm","top","90.0"
"SW129","77.851mm","-84.963mm","top","90.0"
"SW101","77.851mm","-46.99mm","top","90.0"
"SW152","77.851mm","-125.095mm","top","90.0"
"R156","107.2515mm","-110.9345mm","top","0.0"
"Q101","109.728mm","-45.5295mm","top","270.0"
"D107","99.3775mm","-94.869mm","top","180.0"
"R127","113.2205mm","-63.5mm","top","-90.0"
"D103","100.3935mm","-59.6265mm","top","180.0"
"R106","105.029mm","-47.9815mm","top","-90.0"
"R132","99.6315mm","-78.232mm","top","180.0"
"R107","113.157mm","-48.0314mm","top","-90.0"
"D108","99.3902mm","-102.3874mm","top","0.0"
"C117","104.9655mm","-74.2735mm","top","-90.0"
"R158","107.6706mm","-118.7544mm","top","-90.0"
"R118","99.7585mm","-62.484mm","top","180.0"
"R146","98.7425mm","-97.7265mm","top","180.0"
"C103","91.567mm","-78.232mm","top","180.0"
"D109","99.3775mm","-111.6965mm","top","180.0"
"C114","105.0925mm","-42.9475mm","top","-90.0"
"R104","99.695mm","-46.8815mm","top","180.0"
"R147","107.204mm","-94.234mm","top","0.0"
"R114","162.433mm","-43.942mm","top","0.0"
"C104","90.8685mm","-97.7265mm","top","180.0"
"D101","100.33mm","-44.0055mm","top","180.0"
"C105","90.8685mm","-114.554mm","top","180.0"
"R142","162.3314mm","-73.914mm","top","0.0"
"Q105","109.7915mm","-60.96mm","top","270.0"
"C116","105.0925mm","-58.547mm","top","-90.0"
"D104","100.4062mm","-67.1576mm","top","0.0"
"R135","161.3154mm","-77.0636mm","top","-90.0"
"R121","161.3916mm","-61.7728mm","top","-90.0"
"Q113","109.22mm","-97.7265mm","top","180.0"
"D102","100.33mm","-51.5366mm","top","0.0"
"R128","162.3822mm","-58.674mm","top","0.0"
"D106","100.2538mm","-82.7786mm","top","0.0"
"R133","109.8456mm","-82.6516mm","top","180.0"
"D110","99.3902mm","-119.1006mm","top","0.0"
"R148","102.9368mm","-98.679mm","top","-90.0"
"C119","103.632mm","-110.6385mm","top","-90.0"
"R155","98.7425mm","-114.554mm","top","180.0"
"C102","91.694mm","-62.484mm","top","180.0"
"R141","113.2078mm","-79.2734mm","top","-90.0"
"D105","100.203mm","-75.3745mm","top","180.0"
"R120","105.0925mm","-63.5mm","top","-90.0"
"R113","161.4678mm","-46.9646mm","top","-90.0"
"Q109","109.7788mm","-76.7842mm","top","270.0"
"Q114","109.1946mm","-114.5159mm","top","180.0"
"R149","107.696mm","-101.854mm","top","-90.0"
"C118","103.632mm","-93.8315mm","top","-90.0"
"R134","104.963mm","-79.2725mm","top","-90.0"
"C101","91.6305mm","-46.863mm","top","180.0"
"R157","102.9462mm","-115.5446mm","top","-90.0"
"R119","109.839mm","-66.8528mm","top","180.0"
"J3","84.709mm","-36.83mm","top","0.0"
"J4","213.614mm","-150.368mm","top","0.0"
"R105","109.7788mm","-51.3715mm","top","180.0"
"C106","109.8169mm","-49.276mm","top","0.0"
"C108","109.855mm","-64.7192mm","top","0.0"
"R108","136.4742mm","-44.5008mm","top","90.0"
"C110","109.855mm","-80.5434mm","top","0.0"
"Q102","135.1788mm","-51.308mm","top","90.0"
"C112","105.4354mm","-97.79mm","top","-90.0"
"C113","105.3084mm","-114.5794mm","top","-90.0"
"C124","134.2136mm","-46.3804mm","top","90.0"
"C125","134.2009mm","-61.4465mm","top","90.0"
"C126","134.1882mm","-76.6318mm","top","90.0"
"Q106","135.1661mm","-66.3575mm","top","90.0"
"Q107","148.1582mm","-66.2432mm","top","90.0"
"Q108","152.8064mm","-66.2432mm","top","90.0"
"Q110","135.1534mm","-81.5848mm","top","90.0"
"Q111","148.1836mm","-81.534mm","top","90.0"
"Q112","152.7556mm","-81.4832mm","top","90.0"
"Q116","157.4038mm","-59.6392mm","top","0.0"
"Q117","157.3022mm","-74.803mm","top","0.0"
"R103","99.695mm","-48.9966mm","top","180.0"
"R117","99.7712mm","-64.5922mm","top","180.0"
"R122","136.4996mm","-59.4868mm","top","90.0"
"R123","153.4334mm","-60.6392mm","top","90.0"
"R125","149.09mm","-60.6138mm","top","90.0"
"R126","151.249mm","-60.6138mm","top","90.0"
"R131","99.6442mm","-80.3402mm","top","180.0"
"R136","136.4488mm","-74.676mm","top","90.0"
"R137","153.3906mm","-75.7682mm","top","90.0"
"R139","149.1488mm","-75.7682mm","top","90.0"
"R140","151.2824mm","-75.7682mm","top","90.0"
"R145","98.7806mm","-99.8474mm","top","180.0"
"R151","111.1758mm","-101.8286mm","top","-90.0"
"R154","98.7552mm","-116.586mm","top","180.0"
"R160","111.1504mm","-118.6942mm","top","-90.0"
"R162","155.956mm","-67.1068mm","top","90.0"
"R163","155.9306mm","-82.296mm","top","90.0"
"R165","146.931mm","-60.6138mm","top","-90.0"
"R166","146.9136mm","-75.7682mm","top","-90.0"
"R201","103.6828mm","-140.8303mm","top","180.0"
"R164","146.9898mm","-45.9232mm","top","-90.0"
"R161","155.9814mm","-52.4256mm","top","90.0"
"Q104","152.8318mm","-51.562mm","top","90.0"
"Q103","148.1582mm","-51.5112mm","top","90.0"
"Q115","157.4038mm","-44.9326mm","top","0.0"
"R109","153.3906mm","-45.9232mm","top","90.0"
"R112","151.257mm","-45.9232mm","top","90.0"
"R111","149.098mm","-45.9232mm","top","90.0"
"C109","142.0114mm","-62.8142mm","top","-90.0"
"RV103","127.8532mm","-82.3722mm","top","0.0"
"C111","142.0368mm","-78.0034mm","top","-90.0"
"C207","124.714mm","-136.7282mm","top","90.0"
"C203","97.7646mm","-143.0274mm","top","180.0"
"RV102","127.8532mm","-67.2338mm","top","0.0"
"RV101","127.8636mm","-52.0954mm","top","0.0"
"SW10","72.898mm","-144.3978mm","top","180.0"
"C115","116.6622mm","-38.2524mm","top","0.0"
"C107","142.0876mm","-47.7774mm","top","-90.0"
